City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
veracruz,MX,19.3333,66.45,71,1,2.71,1647860124
union,US,40.6334,45.9,57,0,11.5,1647859922
saint george,US,37.1041,46.99,23,0,27.63,1647860126
kabala,SL,9.5833,88.2,42,82,3.89,1647860127
tawang,IN,27.5833,54.37,62,48,6.67,1647860128
lyuban,BY,52.7985,50.94,50,2,6.08,1647860129
bud,US,39.447,45.82,85,47,6.24,1647860130
saint-francois,FR,46.4154,56.68,47,0,12.66,1647860130
elizabeth city,US,36.2946,46.42,73,0,6.96,1647860131
vylkove,UA,45.4021,46.8,44,44,11.1,1647860132
dickinson,US,29.4608,68.16,89,100,7.0,1647860133
holetown,BB,13.1867,75.76,73,80,14.81,1647860134
sayyan,YE,15.1718,72.7,25,24,15.93,1647860134
teahupoo,PF,-17.8333,73.36,77,23,19.01,1647860135
adrar,MR,20.5022,83.68,11,2,14.29,1647860136
birjand,IR,32.8663,79.27,6,0,13.8,1647860137
panzhihua,CN,26.5851,86.92,16,20,13.27,1647860137
mackenzie,CA,55.2999,32.22,100,100,8.05,1647860138
wajir,KE,1.7471,93.16,36,20,8.05,1647860139
kaa-khem,RU,51.6833,13.91,94,45,2.1,1647860140
chapais,CA,49.7834,20.98,92,100,9.17,1647860141
tres arroyos,AR,-38.3739,54.81,63,100,13.47,1647860141
nizhniy ufaley,RU,55.9153,28.22,81,100,9.35,1647860142
pundaguitan,PH,6.3711,81.95,76,100,9.69,1647860143
namtsy,RU,62.7161,-0.92,96,94,2.57,1647860144
taoudenni,ML,22.6783,85.08,11,0,15.59,1647860145
kholm,RU,59.2667,47.43,68,21,6.8,1647860145
port washington,US,40.8257,44.85,61,29,1.99,1647860146
talcahuano,CL,-36.7167,56.88,100,100,4.61,1647860147
eureka,US,40.8021,41.58,81,83,3.22,1647860148
tezu,IN,27.9167,91.85,23,7,4.32,1647860149
cobadin,RO,44.0833,50.31,31,5,13.94,1647860150
olafsvik,IS,64.8945,34.92,70,100,11.65,1647860151
erdaojiang,CN,41.7764,31.03,98,99,3.65,1647860152
lida,BY,53.8833,50.72,47,0,5.64,1647860152
honiara,SB,-9.4333,78.94,79,86,2.06,1647860153
ahipara,NZ,-35.1667,65.37,92,9,8.75,1647860154
hajipur,IN,25.6833,96.78,38,8,3.44,1647860155
ust-maya,RU,60.4167,-3.66,96,83,3.04,1647860156
talnakh,RU,69.4865,2.21,95,40,5.61,1647860158
san quintin,MX,30.4833,55.38,91,35,8.57,1647860158
dire,ML,12.2833,96.53,13,74,5.79,1647860159
escanaba,US,45.7453,28.36,86,0,5.75,1647860160
puerto carreno,CO,6.189,77.25,67,76,5.46,1647860161
broome,US,42.2506,35.37,72,89,4.0,1647860162
jacareacanga,BR,-6.2222,72.41,100,100,0.58,1647860162
amberley,US,39.2048,47.08,75,0,0.0,1647859880
shenzhen,CN,22.5455,79.99,93,23,8.3,1647859987
alexandria,EG,31.2156,59.54,51,0,11.5,1647860024
tambovka,RU,50.0969,16.09,87,98,6.02,1647860166
hearst,CA,49.6835,16.05,96,61,5.77,1647860166
sao geraldo do araguaia,BR,-6.4006,75.34,93,98,0.83,1647859995
inhambane,MZ,-23.865,85.98,48,40,13.8,1647860168
ambon,ID,-3.6954,82.54,78,40,2.3,1647860168
fallon,US,39.4735,42.42,32,77,5.03,1647860169
la ronge,CA,55.1001,32.25,93,100,13.8,1647860170
aras,ES,42.5617,49.73,87,100,19.57,1647860172
acari,PE,-15.4311,70.99,79,99,2.66,1647860173
saraza,PH,8.7356,76.57,88,100,4.14,1647860174
wakkanai,JP,45.4094,33.53,53,92,23.71,1647860175
pimentel,PE,-6.8367,70.0,84,100,10.16,1647860176
flinders,AU,-34.5833,66.18,83,1,4.0,1647860177
zyryanka,RU,65.75,13.12,95,100,22.93,1647860178
tazovskiy,RU,67.4667,7.92,94,56,9.82,1647860179
ponta delgada,PT,37.7333,59.72,58,75,24.16,1647860180
sorland,NO,67.667,40.55,73,98,13.82,1647860181
shubarshi,KZ,48.5872,30.38,96,100,21.63,1647860182
cockburn town,TC,21.4612,77.58,70,72,12.03,1647860067
kirillov,RU,59.863,41.0,80,10,5.06,1647860183
souillac,MU,-20.5167,80.98,83,40,6.91,1647860184
viedma,AR,-40.8135,61.92,53,100,22.77,1647860184
orasac,BA,44.6289,47.77,29,0,9.31,1647860185
finschhafen,PG,-6.6024,82.24,81,100,10.6,1647860186
yar-sale,RU,66.8333,9.81,92,57,15.48,1647860187
huixtla,MX,15.15,75.22,59,0,4.21,1647860188
san pedro del parana,PY,-26.8333,62.76,75,0,5.19,1647860188
ciudad bolivar,VE,8.1222,73.06,85,71,7.58,1647860024
svetlogorsk,BY,52.6333,50.58,53,4,7.49,1647860190
tecoanapa,MX,16.5167,76.15,60,32,4.54,1647860191
gaoual,GN,11.75,96.62,20,81,2.75,1647860192
fairbanks,US,64.8378,-9.4,77,0,0.0,1647860193
nenita,PH,12.4917,77.94,92,94,5.41,1647860193
lieksa,FI,63.3167,39.4,87,82,7.94,1647860194
kondopoga,RU,62.2057,49.68,99,52,4.79,1647860195
ankazoabo,MG,-22.2833,91.11,28,1,3.67,1647860196
makakilo city,US,21.3469,71.56,86,0,3.44,1647860090
auki,SB,-8.7676,78.48,82,91,2.89,1647860197
beloha,MG,-25.1667,84.24,40,2,14.97,1647860198
hirara,JP,24.8,73.67,88,75,14.97,1647860199
nisia floresta,BR,-6.0911,79.18,79,90,7.81,1647859988
ketchikan,US,55.3422,44.58,98,100,6.64,1647860200
zhuhai,CN,22.2769,82.85,94,40,9.22,1647860201
tupik,RU,54.4253,13.3,89,100,3.89,1647860202
guisguis,PH,13.8714,84.06,84,72,11.88,1647860202
granadilla de abona,ES,28.1188,61.2,50,20,4.61,1647860203
namatanai,PG,-3.6667,80.62,80,76,6.04,1647860205
bubaque,GW,11.2833,75.4,61,52,7.58,1647860206
sabzevar,IR,36.2126,67.28,21,0,0.0,1647860207
richards bay,ZA,-28.783,80.38,51,45,11.14,1647860207
les escoumins,CA,48.1111,29.55,91,99,7.14,1647860208
burgeo,CA,47.6167,34.9,98,100,10.54,1647860209
broken hill,AU,-31.95,85.71,26,40,8.05,1647860210
riyadh,SA,24.6877,84.34,10,49,11.88,1647859941
ascension,US,30.2169,57.99,91,0,0.0,1647860211
bowen,AU,-20.0167,78.42,67,30,14.0,1647860212
yarkovo,RU,57.4028,30.78,89,95,5.73,1647860213
snyder,US,32.7179,59.34,72,100,17.27,1647860213
